"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter15Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter16Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter17Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter18Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter19Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter20Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\zoneData.js", "JavaScript", 32, 0, 0, 0, 3, 2, 37
"u:\telegram-miniapp-game\src\main.jsx", "JavaScript JSX", 0, 12, 0, 0, 5, 1, 18
"u:\telegram-miniapp-game\src\store\useGameStore.js", "JavaScript", 2745, 0, 0, 0, 49, 197, 2991
"u:\telegram-miniapp-game\src\utils\loadlevel.js", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"Total", "-", 7468, 13722, 13400, 15, 3462, 4025, 42092
